Audi,BMW,Chrysler,Ford,GMC,Honda,Mercedes-Benz,Nissan,Toyota
heat,trim,exterior,dome,exterior,exterior,exterior,exterior,exterior
insid,black,dome,exterior,dome,tail,tail,len,trim
melt,cabin,dash,overhead,tail,dome,blink,fog,len
footwel,color,tail,dim,insid,trim,licens,tail,lens
heater,edg,fog,flicker,fog,reflect,dome,dome,dome
compart,brown,dashboard,tail,secur,fog,fog,trunk,chrome
flood,insid,dim,trunk,board,overhead,len,ceil,cloth
expos,white,mirror,fog,flicker,panel,headlight,trim,tail
ac,pinch,overhead,fixtur,dash,plastic,dashboard,liner,insid
windshield,roof,panel,taillight,dashboard,len,sr,black,sourc
