Audi,BMW,Chrysler,Ford,GMC,Honda,Mercedes-Benz,Nissan,Toyota
wheel,ster,stere,ster,ster,ster,lose,stear,stere
column,ohm,stear,streer,stear,stear,liftgat,stir,ster
rack,regain,train,stere,stir,steeer,train,nsteer,pinion
stiff,lose,pinion,stear,regain,stere,lost,alloy,output
lost,reduc,bear,stir,train,bear,clamp,bear,mag
power,alloy,reduct,stee,bear,regain,bear,train,spline
notchi,plushier,lose,pinion,reduc,train,option,ster,slippag
bear,loos,regain,straighten,lose,nsteer,hydraul,stere,asleep
lock,reduct,transfer,steeer,feed,straighten,ps,rmv,crimp
stiffen,train,crome,stroke,boost,pinion,lock,regain,bear
