Audi,BMW,Chrysler,Ford,GMC,Honda,Mercedes-Benz,Nissan,Toyota
column,column,column,knuckl,column,column,column,column,column
steer,suspens,knuckl,column,suspens,knuckl,pwr,knuckl,yoke
stiff,sticki,axl,shaft,shaft,suspens,rack,stiff,shaft
bear,angl,left,cloumn,knuckl,rack,power,suspens,toe
lock,rim,suspens,damper,colum,shaft,right,rack,knuckl
notch,stick,tight,dampen,tight,corner,left,axl,suspens
align,left,angl,hub,alig,axl,lock,tight,telescop
rack,axl,rim,nwheel,right,wander,freeli,corner,colum
hand,rack,difficulti,collumn,left,stiff,difficulti,fender,tilt
stiffen,right,stiff,fender,axl,throwout,difficult,unmanag,angl
