Audi,BMW,Chrysler,Ford,GMC,Honda,Mercedes-Benz,Nissan,Toyota
door,hatch,glass,sunroof,mirror,door,trunk,door,door
mirror,door,mirror,hatch,liftgat,tailgat,hatch,hatch,liftgat
trunk,regul,door,glass,gate,sunroof,door,liftgat,sunshad
view,tailgat,hatch,door,hatch,hatch,latch,speaker,hatch
glass,glass,windshield,moonroof,door,windshield,camera,mirror,sunscreen
rear,close,sunroof,windshield,lift,liftgat,lid,tailgat,mirror
camera,latch,defrost,liftgat,latch,glass,gate,slide,sunroof
heat,windshield,slide,slider,glass,visor,lift,gate,tailgat
heater,fold,tailgat,mirror,widow,moonroof,headrest,sunroof,headlin
windshield,sunroof,liftgat,visor,tailgat,mirror,knob,trunk,windshield
